Price,Close,High,Low,Open,Volume
Ticker,^N225,^N225,^N225,^N225,^N225
Date,,,,,
2026-02-03,54720.66015625,54782.828125,53307.73828125,53332.1796875,156900000
2026-02-04,54293.359375,54459.41015625,53965.51171875,54250.41015625,186300000
2026-02-05,53818.0390625,54459.078125,53653.05859375,54289.05078125,213200000
2026-02-06,54253.6796875,54253.6796875,52950.1484375,53435.37109375,188900000
2026-02-09,56363.94140625,57337.0703125,55018.5703125,55130.62890625,205000000
2026-02-10,57650.5390625,57960.19140625,56812.01171875,56812.01171875,191500000
2026-02-12,57639.83984375,58015.078125,57554.48828125,57864.73828125,190000000
2026-02-13,56941.96875,57407.25,56652.48046875,57197.328125,210000000
2026-02-16,56806.41015625,57219.19921875,56748.1796875,57212.96875,137400000
2026-02-17,56566.48828125,56926.23828125,56135.12109375,56819.37109375,132600000
2026-02-18,57143.83984375,57392.890625,56734.26953125,56734.26953125,130100000
2026-02-19,57467.828125,57709.8203125,57362.01171875,57472.078125,135500000
2026-02-20,56825.69921875,56979.73828125,56680.87890625,56979.73828125,152400000
2026-02-24,57321.08984375,57421.671875,56732.9296875,56764.140625,157800000
2026-02-25,58583.12109375,58875.171875,57656.5,57695.3984375,167100000
2026-02-26,58753.390625,59332.4296875,58577.83984375,58995.390625,155300000
2026-02-27,58850.26953125,58924.171875,58130.5703125,58606.03125,192400000
2026-03-02,58057.23828125,58365.2109375,57285.76953125,57976.19921875,162400000
